[20:15:24.283] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:24.541] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:24.806] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:25.058] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:25.324] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:25.574] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:25.841] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:26.107] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:26.374] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:26.640] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:26.907] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:27.174] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:27.439] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:27.690] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:27.946] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:28.211] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:28.477] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:28.746] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:28.997] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:29.263] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:29.527] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:29.778] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:30.029] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:30.280] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:30.529] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:30.781] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:31.047] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:31.314] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:31.578] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:31.846] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:32.112] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:32.380] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:32.644] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:32.897] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:33.149] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:33.413] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:33.678] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:33.946] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:34.196] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:34.463] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:34.729] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:34.994] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:35.245] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:35.512] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
